#    L    TT             EE             BB             TE             PP             PT             PE         
   195    5.52751E+03    7.08363E-01    1.74970E-02   -2.09929E+01    5.89951E-08    1.53675E-04   -4.48239E-07
   196    5.54256E+03    7.04075E-01    1.76106E-02   -1.98384E+01    5.86960E-08    1.52447E-04   -4.33794E-07
   197    5.55707E+03    7.00487E-01    1.77281E-02   -1.86606E+01    5.83993E-08    1.51228E-04   -4.19325E-07
   198    5.57102E+03    6.97634E-01    1.78493E-02   -1.74599E+01    5.81050E-08    1.50020E-04   -4.04832E-07
   199    5.58439E+03    6.95551E-01    1.79743E-02   -1.62367E+01    5.78130E-08    1.48821E-04   -3.90314E-07
   200    5.59721E+03    6.94275E-01    1.81028E-02   -1.49913E+01    5.75233E-08    1.47631E-04   -3.75773E-07
   201    5.60945E+03    6.93843E-01    1.82348E-02   -1.37241E+01    5.72360E-08    1.46450E-04   -3.61207E-07
   202    5.62111E+03    6.94291E-01    1.83702E-02   -1.24356E+01    5.69509E-08    1.45277E-04   -3.46619E-07
   203    5.63217E+03    6.95655E-01    1.85089E-02   -1.11260E+01    5.66680E-08    1.44113E-04   -3.32010E-07
   204    5.64263E+03    6.97971E-01    1.86508E-02   -9.79597E+00    5.63874E-08    1.42957E-04   -3.17383E-07
   205    5.65246E+03    7.01277E-01    1.87958E-02   -8.44582E+00    5.61090E-08    1.41810E-04   -3.02740E-07
   206    5.66168E+03    7.05607E-01    1.89438E-02   -7.07596E+00    5.58328E-08    1.40671E-04   -2.88083E-07
   207    5.67026E+03    7.10999E-01    1.90948E-02   -5.68678E+00    5.55587E-08    1.39540E-04   -2.73414E-07
   208    5.67819E+03    7.17488E-01    1.92486E-02   -4.27887E+00    5.52868E-08    1.38418E-04   -2.58734E-07
   209    5.68552E+03    7.25111E-01    1.94051E-02   -2.85278E+00    5.50171E-08    1.37304E-04   -2.44047E-07
   210    5.69221E+03    7.33903E-01    1.95643E-02   -1.40905E+00    5.47495E-08    1.36198E-04   -2.29354E-07
   211    5.69829E+03    7.43903E-01    1.97260E-02    5.17551E-02    5.44839E-08    1.35100E-04   -2.14658E-07
   212    5.70376E+03    7.55144E-01    1.98901E-02    1.52908E+00    5.42205E-08    1.34011E-04   -1.99959E-07
   213    5.70862E+03    7.67663E-01    2.00566E-02    3.02237E+00    5.39591E-08    1.32929E-04   -1.85262E-07
   214    5.71289E+03    7.81498E-01    2.02253E-02    4.53107E+00    5.36997E-08    1.31855E-04   -1.70566E-07
   215    5.71656E+03    7.96678E-01    2.03962E-02    6.05458E+00    5.34424E-08    1.30790E-04   -1.55876E-07
   216    5.71961E+03    8.13247E-01    2.05691E-02    7.59233E+00    5.31871E-08    1.29732E-04   -1.41192E-07
   217    5.72205E+03    8.31234E-01    2.07440E-02    9.14368E+00    5.29338E-08    1.28682E-04   -1.26516E-07
   218    5.72388E+03    8.50669E-01    2.09208E-02    1.07081E+01    5.26824E-08    1.27639E-04   -1.11852E-07
   219    5.72509E+03    8.71595E-01    2.10993E-02    1.22850E+01    5.24330E-08    1.26605E-04   -9.72006E-08
   220    5.72566E+03    8.94042E-01    2.12794E-02    1.38738E+01    5.21855E-08    1.25578E-04   -8.25642E-08
   221    5.72562E+03    9.18039E-01    2.14612E-02    1.54737E+01    5.19399E-08    1.24559E-04   -6.79450E-08
   222    5.72494E+03    9.43630E-01    2.16443E-02    1.70844E+01    5.16962E-08    1.23547E-04   -5.33449E-08
   223    5.72363E+03    9.70836E-01    2.18289E-02    1.87049E+01    5.14544E-08    1.22543E-04   -3.87661E-08
   224    5.72170E+03    9.99695E-01    2.20147E-02    2.03348E+01    5.12144E-08    1.21547E-04   -2.42107E-08
   225    5.71914E+03    1.03023E+00    2.22017E-02    2.19733E+01    5.09763E-08    1.20557E-04   -9.68076E-09
   226    5.71596E+03    1.06248E+00    2.23897E-02    2.36198E+01    5.07400E-08    1.19576E-04    4.82168E-09
   227    5.71215E+03    1.09647E+00    2.25787E-02    2.52737E+01    5.05055E-08    1.18601E-04    1.92945E-08
   228    5.70772E+03    1.13224E+00    2.27685E-02    2.69342E+01    5.02728E-08    1.17634E-04    3.37356E-08
   229    5.70268E+03    1.16981E+00    2.29591E-02    2.86006E+01    5.00418E-08    1.16674E-04    4.81430E-08
