#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
 212     6.56243e-01     9.79009e-03     1.52302e-03     2.19528e-02     2.86528e-04     3.22440e-03
 213     6.44272e-01     9.60892e-03     1.10359e-03     2.26062e-02     1.53184e-04     2.08101e-03
 214     6.32817e-01     9.41311e-03     9.25691e-04     2.33362e-02    -7.19663e-08     9.61602e-04
 215     6.21700e-01     9.20354e-03     1.00760e-03     2.40770e-02    -1.71023e-04    -4.04868e-05
 216     6.10776e-01     8.98701e-03     1.33234e-03     2.47737e-02    -3.49589e-04    -8.55653e-04
 217     6.00017e-01     8.77501e-03     1.85221e-03     2.53868e-02    -5.19119e-04    -1.44844e-03
 218     5.89419e-01     8.57945e-03     2.49815e-03     2.58902e-02    -6.59130e-04    -1.81953e-03
 219     5.79035e-01     8.41029e-03     3.19144e-03     2.62718e-02    -7.48788e-04    -2.00027e-03
 220     5.68878e-01     8.27214e-03     3.85413e-03     2.65285e-02    -7.70220e-04    -2.04213e-03
 221     5.58887e-01     8.16271e-03     4.41711e-03     2.66630e-02    -7.11325e-04    -2.00476e-03
 222     5.48893e-01     8.07236e-03     4.82557e-03     2.66813e-02    -5.67866e-04    -1.94491e-03
 223     5.38604e-01     7.98485e-03     5.04222e-03     2.65899e-02    -3.44797e-04    -1.90782e-03
 224     5.27701e-01     7.88062e-03     5.04992e-03     2.63979e-02    -5.67292e-05    -1.92186e-03
 225     5.15769e-01     7.73826e-03     4.85122e-03     2.61109e-02     2.72897e-04    -1.99590e-03
 226     5.02473e-01     7.54001e-03     4.46841e-03     2.57350e-02     6.13876e-04    -2.12079e-03
 227     4.87582e-01     7.27484e-03     3.94008e-03     2.52742e-02     9.32758e-04    -2.27351e-03
 228     4.71065e-01     6.94177e-03     3.31624e-03     2.47314e-02     1.19731e-03    -2.42400e-03
 229     4.53106e-01     6.55060e-03     2.65143e-03     2.41070e-02     1.38097e-03    -2.54274e-03
 230     4.34077e-01     6.12029e-03     1.99740e-03     2.33984e-02     1.46613e-03    -2.60725e-03
