#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   178   0.519260E+04  -0.370278E+02   0.176347E-03  -0.370278E+02   0.829759E+00  -0.691248E-06   0.176347E-03  -0.691248E-06   0.638170E-07
   179   0.521628E+04  -0.363117E+02   0.174880E-03  -0.363117E+02   0.818780E+00  -0.677107E-06   0.174880E-03  -0.677107E-06   0.634682E-07
   180   0.523965E+04  -0.355690E+02   0.173430E-03  -0.355690E+02   0.807950E+00  -0.662943E-06   0.173430E-03  -0.662943E-06   0.631223E-07
   181   0.526248E+04  -0.347997E+02   0.171997E-03  -0.347997E+02   0.797271E+00  -0.648757E-06   0.171997E-03  -0.648757E-06   0.627793E-07
   182   0.528484E+04  -0.340022E+02   0.170580E-03  -0.340022E+02   0.786817E+00  -0.634548E-06   0.170580E-03  -0.634548E-06   0.624392E-07
   183   0.530667E+04  -0.331781E+02   0.169179E-03  -0.331781E+02   0.776514E+00  -0.620317E-06   0.169179E-03  -0.620317E-06   0.621019E-07
   184   0.532810E+04  -0.323266E+02   0.167793E-03  -0.323266E+02   0.766437E+00  -0.606064E-06   0.167793E-03  -0.606064E-06   0.617674E-07
   185   0.534908E+04  -0.314500E+02   0.166422E-03  -0.314500E+02   0.756735E+00  -0.591789E-06   0.166422E-03  -0.591789E-06   0.614357E-07
   186   0.536922E+04  -0.305453E+02   0.165066E-03  -0.305453E+02   0.747269E+00  -0.577493E-06   0.165066E-03  -0.577493E-06   0.611068E-07
   187   0.538920E+04  -0.296140E+02   0.163724E-03  -0.296140E+02   0.738178E+00  -0.563174E-06   0.163724E-03  -0.563174E-06   0.607805E-07
   188   0.540864E+04  -0.286575E+02   0.162396E-03  -0.286575E+02   0.729450E+00  -0.548834E-06   0.162396E-03  -0.548834E-06   0.604570E-07
   189   0.542747E+04  -0.276745E+02   0.161082E-03  -0.276745E+02   0.721122E+00  -0.534472E-06   0.161082E-03  -0.534472E-06   0.601361E-07
   190   0.544615E+04  -0.266671E+02   0.159780E-03  -0.266671E+02   0.713246E+00  -0.520089E-06   0.159780E-03  -0.520089E-06   0.598178E-07
   191   0.546391E+04  -0.256323E+02   0.158492E-03  -0.256323E+02   0.705846E+00  -0.505685E-06   0.158492E-03  -0.505685E-06   0.595022E-07
   192   0.548129E+04  -0.245725E+02   0.157215E-03  -0.245725E+02   0.698944E+00  -0.491259E-06   0.157215E-03  -0.491259E-06   0.591891E-07
   193   0.549807E+04  -0.234890E+02   0.155950E-03  -0.234890E+02   0.692585E+00  -0.476812E-06   0.155950E-03  -0.476812E-06   0.588785E-07
   194   0.551446E+04  -0.223797E+02   0.154697E-03  -0.223797E+02   0.686800E+00  -0.462345E-06   0.154697E-03  -0.462345E-06   0.585705E-07
   195   0.553024E+04  -0.212469E+02   0.153455E-03  -0.212469E+02   0.681627E+00  -0.447857E-06   0.153455E-03  -0.447857E-06   0.582650E-07
   196   0.554542E+04  -0.200897E+02   0.152224E-03  -0.200897E+02   0.677102E+00  -0.433348E-06   0.152224E-03  -0.433348E-06   0.579619E-07
   197   0.556014E+04  -0.189097E+02   0.151003E-03  -0.189097E+02   0.673272E+00  -0.418818E-06   0.151003E-03  -0.418818E-06   0.576613E-07
   198   0.557433E+04  -0.177061E+02   0.149791E-03  -0.177061E+02   0.670159E+00  -0.404269E-06   0.149791E-03  -0.404269E-06   0.573630E-07
   199   0.558800E+04  -0.164796E+02   0.148590E-03  -0.164796E+02   0.667801E+00  -0.389698E-06   0.148590E-03  -0.389698E-06   0.570672E-07
   200   0.560113E+04  -0.152311E+02   0.147397E-03  -0.152311E+02   0.666228E+00  -0.375108E-06   0.147397E-03  -0.375108E-06   0.567736E-07
   201   0.561366E+04  -0.139598E+02   0.146214E-03  -0.139598E+02   0.665500E+00  -0.360498E-06   0.146214E-03  -0.360498E-06   0.564824E-07
   202   0.562566E+04  -0.126672E+02   0.145039E-03  -0.126672E+02   0.665625E+00  -0.345870E-06   0.145039E-03  -0.345870E-06   0.561935E-07
   203   0.563705E+04  -0.113525E+02   0.143872E-03  -0.113525E+02   0.666664E+00  -0.331225E-06   0.143872E-03  -0.331225E-06   0.559069E-07
   204   0.564777E+04  -0.100188E+02   0.142714E-03  -0.100188E+02   0.668639E+00  -0.316567E-06   0.142714E-03  -0.316567E-06   0.556225E-07
   205   0.565796E+04  -0.866383E+01   0.141565E-03  -0.866383E+01   0.671594E+00  -0.301896E-06   0.141565E-03  -0.301896E-06   0.553403E-07
   206   0.566747E+04  -0.728884E+01   0.140424E-03  -0.728884E+01   0.675569E+00  -0.287215E-06   0.140424E-03  -0.287215E-06   0.550604E-07
   207   0.567645E+04  -0.589431E+01   0.139292E-03  -0.589431E+01   0.680586E+00  -0.272525E-06   0.139292E-03  -0.272525E-06   0.547827E-07
   208   0.568468E+04  -0.448077E+01   0.138168E-03  -0.448077E+01   0.686696E+00  -0.257830E-06   0.138168E-03  -0.257830E-06   0.545072E-07
   209   0.569230E+04  -0.304862E+01   0.137052E-03  -0.304862E+01   0.693924E+00  -0.243129E-06   0.137052E-03  -0.243129E-06   0.542338E-07
   210   0.569931E+04  -0.159875E+01   0.135944E-03  -0.159875E+01   0.702322E+00  -0.228426E-06   0.135944E-03  -0.228426E-06   0.539626E-07
   211   0.570572E+04  -0.131243E+00   0.134845E-03  -0.131243E+00   0.711920E+00  -0.213723E-06   0.134845E-03  -0.213723E-06   0.536935E-07
   212   0.571138E+04   0.135296E+01   0.133754E-03   0.135296E+01   0.722748E+00  -0.199021E-06   0.133754E-03  -0.199021E-06   0.534265E-07
   213   0.571651E+04   0.285389E+01   0.132671E-03   0.285389E+01   0.734852E+00  -0.184322E-06   0.132671E-03  -0.184322E-06   0.531616E-07
   214   0.572095E+04   0.437032E+01   0.131596E-03   0.437032E+01   0.748225E+00  -0.169629E-06   0.131596E-03  -0.169629E-06   0.528987E-07
   215   0.572479E+04   0.590150E+01   0.130530E-03   0.590150E+01   0.763059E+00  -0.154943E-06   0.130530E-03  -0.154943E-06   0.526379E-07
   216   0.572795E+04   0.744794E+01   0.129471E-03   0.744794E+01   0.779171E+00  -0.140266E-06   0.129471E-03  -0.140266E-06   0.523792E-07
   217   0.573058E+04   0.900763E+01   0.128420E-03   0.900763E+01   0.796717E+00  -0.125600E-06   0.128420E-03  -0.125600E-06   0.521224E-07
   218   0.573252E+04   0.105808E+02   0.127376E-03   0.105808E+02   0.815697E+00  -0.110948E-06   0.127376E-03  -0.110948E-06   0.518677E-07
   219   0.573386E+04   0.121683E+02   0.126341E-03   0.121683E+02   0.836113E+00  -0.963100E-07   0.126341E-03  -0.963100E-07   0.516149E-07
   220   0.573459E+04   0.137657E+02   0.125314E-03   0.137657E+02   0.858112E+00  -0.816894E-07   0.125314E-03  -0.816894E-07   0.513641E-07
   221   0.573472E+04   0.153753E+02   0.124294E-03   0.153753E+02   0.881622E+00  -0.670877E-07   0.124294E-03  -0.670877E-07   0.511153E-07
   222   0.573423E+04   0.169956E+02   0.123282E-03   0.169956E+02   0.906791E+00  -0.525070E-07   0.123282E-03  -0.525070E-07   0.508683E-07
   223   0.573299E+04   0.186272E+02   0.122277E-03   0.186272E+02   0.933546E+00  -0.379491E-07   0.122277E-03  -0.379491E-07   0.506233E-07
   224   0.573129E+04   0.202665E+02   0.121280E-03   0.202665E+02   0.961887E+00  -0.234160E-07   0.121280E-03  -0.234160E-07   0.503801E-07
   225   0.572891E+04   0.219164E+02   0.120290E-03   0.219164E+02   0.991965E+00  -0.890961E-08   0.120290E-03  -0.890961E-08   0.501388E-07
   226   0.572592E+04   0.235731E+02   0.119308E-03   0.235731E+02   0.102378E+01   0.556804E-08   0.119308E-03   0.556804E-08   0.498993E-07
   227   0.572225E+04   0.252383E+02   0.118333E-03   0.252383E+02   0.105733E+01   0.200150E-07   0.118333E-03   0.200150E-07   0.496617E-07
   228   0.571804E+04   0.269102E+02   0.117366E-03   0.269102E+02   0.109261E+01   0.344294E-07   0.117366E-03   0.344294E-07   0.494259E-07
   229   0.571323E+04   0.285875E+02   0.116406E-03   0.285875E+02   0.112971E+01   0.488093E-07   0.116406E-03   0.488093E-07   0.491919E-07
   230   0.570773E+04   0.302709E+02   0.115453E-03   0.302709E+02   0.116863E+01   0.631526E-07   0.115453E-03   0.631526E-07   0.489596E-07
   231   0.570154E+04   0.319597E+02   0.114508E-03   0.319597E+02   0.120943E+01   0.774575E-07   0.114508E-03   0.774575E-07   0.487291E-07
   232   0.569483E+04   0.336522E+02   0.113569E-03   0.336522E+02   0.125204E+01   0.917220E-07   0.113569E-03   0.917220E-07   0.485003E-07
   233   0.568750E+04   0.353471E+02   0.112638E-03   0.353471E+02   0.129669E+01   0.105944E-06   0.112638E-03   0.105944E-06   0.482733E-07
   234   0.567941E+04   0.370450E+02   0.111713E-03   0.370450E+02   0.134323E+01   0.120122E-06   0.111713E-03   0.120122E-06   0.480479E-07
   235   0.567079E+04   0.387445E+02   0.110796E-03   0.387445E+02   0.139173E+01   0.134254E-06   0.110796E-03   0.134254E-06   0.478242E-07
   236   0.566148E+04   0.404456E+02   0.109885E-03   0.404456E+02   0.144220E+01   0.148337E-06   0.109885E-03   0.148337E-06   0.476022E-07
   237   0.565156E+04   0.421467E+02   0.108982E-03   0.421467E+02   0.149471E+01   0.162370E-06   0.108982E-03   0.162370E-06   0.473818E-07
   238   0.564103E+04   0.438478E+02   0.108085E-03   0.438478E+02   0.154934E+01   0.176351E-06   0.108085E-03   0.176351E-06   0.471630E-07
   239   0.562997E+04   0.455482E+02   0.107195E-03   0.455482E+02   0.160593E+01   0.190278E-06   0.107195E-03   0.190278E-06   0.469458E-07
   240   0.561814E+04   0.472456E+02   0.106312E-03   0.472456E+02   0.166456E+01   0.204149E-06   0.106312E-03   0.204149E-06   0.467302E-07
   241   0.560585E+04   0.489408E+02   0.105435E-03   0.489408E+02   0.172538E+01   0.217962E-06   0.105435E-03   0.217962E-06   0.465162E-07
   242   0.559295E+04   0.506330E+02   0.104565E-03   0.506330E+02   0.178824E+01   0.231716E-06   0.104565E-03   0.231716E-06   0.463037E-07
   243   0.557944E+04   0.523207E+02   0.103702E-03   0.523207E+02   0.185330E+01   0.245407E-06   0.103702E-03   0.245407E-06   0.460928E-07
   244   0.556532E+04   0.540047E+02   0.102845E-03   0.540047E+02   0.192047E+01   0.259034E-06   0.102845E-03   0.259034E-06   0.458833E-07
   245   0.555058E+04   0.556819E+02   0.101995E-03   0.556819E+02   0.198984E+01   0.272596E-06   0.101995E-03   0.272596E-06   0.456753E-07
   246   0.553531E+04   0.573538E+02   0.101151E-03   0.573538E+02   0.206140E+01   0.286090E-06   0.101151E-03   0.286090E-06   0.454689E-07
   247   0.551949E+04   0.590183E+02   0.100313E-03   0.590183E+02   0.213508E+01   0.299515E-06   0.100313E-03   0.299515E-06   0.452638E-07
   248   0.550307E+04   0.606752E+02   0.994820E-04   0.606752E+02   0.221125E+01   0.312867E-06   0.994820E-04   0.312867E-06   0.450602E-07
   249   0.548618E+04   0.623238E+02   0.986570E-04   0.623238E+02   0.228939E+01   0.326147E-06   0.986570E-04   0.326147E-06   0.448580E-07
   250   0.546867E+04   0.639626E+02   0.978382E-04   0.639626E+02   0.236995E+01   0.339350E-06   0.978382E-04   0.339350E-06   0.446572E-07
   251   0.545071E+04   0.655924E+02   0.970256E-04   0.655924E+02   0.245264E+01   0.352477E-06   0.970256E-04   0.352477E-06   0.444578E-07
   252   0.543205E+04   0.672116E+02   0.962190E-04   0.672116E+02   0.253767E+01   0.365527E-06   0.962190E-04   0.365527E-06   0.442597E-07
   253   0.541308E+04   0.688188E+02   0.954186E-04   0.688188E+02   0.262482E+01   0.378501E-06   0.954186E-04   0.378501E-06   0.440630E-07
   254   0.539350E+04   0.704139E+02   0.946241E-04   0.704139E+02   0.271438E+01   0.391400E-06   0.946241E-04   0.391400E-06   0.438677E-07
   255   0.537338E+04   0.719969E+02   0.938357E-04   0.719969E+02   0.280607E+01   0.404224E-06   0.938357E-04   0.404224E-06   0.436737E-07
   256   0.535279E+04   0.735678E+02   0.930531E-04   0.735678E+02   0.290026E+01   0.416974E-06   0.930531E-04   0.416974E-06   0.434810E-07
   257   0.533174E+04   0.751185E+02   0.922764E-04   0.751185E+02   0.299649E+01   0.429651E-06   0.922764E-04   0.429651E-06   0.432896E-07
   258   0.531016E+04   0.766615E+02   0.915055E-04   0.766615E+02   0.309513E+01   0.442255E-06   0.915055E-04   0.442255E-06   0.430995E-07
   259   0.528812E+04   0.781821E+02   0.907404E-04   0.781821E+02   0.319605E+01   0.454788E-06   0.907404E-04   0.454788E-06   0.429107E-07
   260   0.526568E+04   0.796949E+02   0.899809E-04   0.796949E+02   0.329923E+01   0.467250E-06   0.899809E-04   0.467250E-06   0.427232E-07
   261   0.524271E+04   0.811777E+02   0.892272E-04   0.811777E+02   0.340461E+01   0.479642E-06   0.892272E-04   0.479642E-06   0.425370E-07
   262   0.521921E+04   0.826529E+02   0.884790E-04   0.826529E+02   0.351241E+01   0.491964E-06   0.884790E-04   0.491964E-06   0.423520E-07
   263   0.519554E+04   0.841129E+02   0.877364E-04   0.841129E+02   0.362240E+01   0.504218E-06   0.877364E-04   0.504218E-06   0.421683E-07
   264   0.517127E+04   0.855503E+02   0.869993E-04   0.855503E+02   0.373466E+01   0.516403E-06   0.869993E-04   0.516403E-06   0.419858E-07
   265   0.514646E+04   0.869577E+02   0.862677E-04   0.869577E+02   0.384911E+01   0.528521E-06   0.862677E-04   0.528521E-06   0.418045E-07
   266   0.512134E+04   0.883574E+02   0.855415E-04   0.883574E+02   0.396598E+01   0.540572E-06   0.855415E-04   0.540572E-06   0.416245E-07
   267   0.509569E+04   0.897270E+02   0.848206E-04   0.897270E+02   0.408489E+01   0.552557E-06   0.848206E-04   0.552557E-06   0.414456E-07
   268   0.506965E+04   0.910814E+02   0.841050E-04   0.910814E+02   0.420623E+01   0.564477E-06   0.841050E-04   0.564477E-06   0.412680E-07
   269   0.504308E+04   0.924132E+02   0.833947E-04   0.924132E+02   0.432967E+01   0.576332E-06   0.833947E-04   0.576332E-06   0.410915E-07
   270   0.501627E+04   0.937223E+02   0.826896E-04   0.937223E+02   0.445532E+01   0.588124E-06   0.826896E-04   0.588124E-06   0.409163E-07
   271   0.498901E+04   0.950088E+02   0.819897E-04   0.950088E+02   0.458308E+01   0.599853E-06   0.819897E-04   0.599853E-06   0.407421E-07
   272   0.496151E+04   0.962651E+02   0.812949E-04   0.962651E+02   0.471325E+01   0.611519E-06   0.812949E-04   0.611519E-06   0.405692E-07
   273   0.493356E+04   0.975062E+02   0.806051E-04   0.975062E+02   0.484525E+01   0.623124E-06   0.806051E-04   0.623124E-06   0.403974E-07
   274   0.490530E+04   0.987097E+02   0.799203E-04   0.987097E+02   0.497966E+01   0.634668E-06   0.799203E-04   0.634668E-06   0.402267E-07
   275   0.487665E+04   0.998979E+02   0.792405E-04   0.998979E+02   0.511597E+01   0.646151E-06   0.792405E-04   0.646151E-06   0.400571E-07
   276   0.484777E+04   0.101049E+03   0.785656E-04   0.101049E+03   0.525439E+01   0.657575E-06   0.785656E-04   0.657575E-06   0.398887E-07
   277   0.481844E+04   0.102184E+03   0.778956E-04   0.102184E+03   0.539493E+01   0.668941E-06   0.778956E-04   0.668941E-06   0.397213E-07
   278   0.478888E+04   0.103282E+03   0.772303E-04   0.103282E+03   0.553752E+01   0.680248E-06   0.772303E-04   0.680248E-06   0.395551E-07
   279   0.475901E+04   0.104349E+03   0.765698E-04   0.104349E+03   0.568207E+01   0.691498E-06   0.765698E-04   0.691498E-06   0.393899E-07
   280   0.472883E+04   0.105401E+03   0.759140E-04   0.105401E+03   0.582859E+01   0.702691E-06   0.759140E-04   0.702691E-06   0.392258E-07
   281   0.469850E+04   0.106416E+03   0.752629E-04   0.106416E+03   0.597716E+01   0.713829E-06   0.752629E-04   0.713829E-06   0.390628E-07
   282   0.466772E+04   0.107400E+03   0.746164E-04   0.107400E+03   0.612746E+01   0.724911E-06   0.746164E-04   0.724911E-06   0.389008E-07
   283   0.463677E+04   0.108354E+03   0.739744E-04   0.108354E+03   0.627974E+01   0.735939E-06   0.739744E-04   0.735939E-06   0.387398E-07
   284   0.460560E+04   0.109278E+03   0.733369E-04   0.109278E+03   0.643391E+01   0.746914E-06   0.733369E-04   0.746914E-06   0.385799E-07
   285   0.457420E+04   0.110172E+03   0.727039E-04   0.110172E+03   0.658997E+01   0.757835E-06   0.727039E-04   0.757835E-06   0.384210E-07
   286   0.454250E+04   0.111028E+03   0.720753E-04   0.111028E+03   0.674778E+01   0.768704E-06   0.720753E-04   0.768704E-06   0.382631E-07
   287   0.451056E+04   0.111861E+03   0.714510E-04   0.111861E+03   0.690733E+01   0.779522E-06   0.714510E-04   0.779522E-06   0.381062E-07
   288   0.447848E+04   0.112656E+03   0.708311E-04   0.112656E+03   0.706863E+01   0.790288E-06   0.708311E-04   0.790288E-06   0.379502E-07
   289   0.444616E+04   0.113421E+03   0.702153E-04   0.113421E+03   0.723159E+01   0.801005E-06   0.702153E-04   0.801005E-06   0.377953E-07
   290   0.441369E+04   0.114156E+03   0.696038E-04   0.114156E+03   0.739608E+01   0.811672E-06   0.696038E-04   0.811672E-06   0.376413E-07
   291   0.438107E+04   0.114845E+03   0.689965E-04   0.114845E+03   0.756283E+01   0.822290E-06   0.689965E-04   0.822290E-06   0.374883E-07
   292   0.434800E+04   0.115512E+03   0.683932E-04   0.115512E+03   0.773073E+01   0.832861E-06   0.683932E-04   0.832861E-06   0.373362E-07
   293   0.431507E+04   0.116133E+03   0.677940E-04   0.116133E+03   0.789940E+01   0.843384E-06   0.677940E-04   0.843384E-06   0.371850E-07
   294   0.428184E+04   0.116731E+03   0.671988E-04   0.116731E+03   0.807034E+01   0.853861E-06   0.671988E-04   0.853861E-06   0.370348E-07
   295   0.424869E+04   0.117285E+03   0.666076E-04   0.117285E+03   0.824206E+01   0.864292E-06   0.666076E-04   0.864292E-06   0.368855E-07
   296   0.421523E+04   0.117807E+03   0.660202E-04   0.117807E+03   0.841604E+01   0.874678E-06   0.660202E-04   0.874678E-06   0.367371E-07
   297   0.418170E+04   0.118300E+03   0.654367E-04   0.118300E+03   0.859005E+01   0.885020E-06   0.654367E-04   0.885020E-06   0.365895E-07
   298   0.414794E+04   0.118747E+03   0.648570E-04   0.118747E+03   0.876632E+01   0.895317E-06   0.648570E-04   0.895317E-06   0.364429E-07
   299   0.411419E+04   0.119156E+03   0.642810E-04   0.119156E+03   0.894412E+01   0.905572E-06   0.642810E-04   0.905572E-06   0.362971E-07
   300   0.408028E+04   0.119527E+03   0.637088E-04   0.119527E+03   0.912194E+01   0.915785E-06   0.637088E-04   0.915785E-06   0.361522E-07
   301   0.404630E+04   0.119868E+03   0.631402E-04   0.119868E+03   0.930129E+01   0.925956E-06   0.631402E-04   0.925956E-06   0.360081E-07
   302   0.401231E+04   0.120179E+03   0.625752E-04   0.120179E+03   0.948141E+01   0.936080E-06   0.625752E-04   0.936080E-06   0.358649E-07
   303   0.397825E+04   0.120444E+03   0.620140E-04   0.120444E+03   0.966305E+01   0.946152E-06   0.620140E-04   0.946152E-06   0.357225E-07
   304   0.394412E+04   0.120663E+03   0.614564E-04   0.120663E+03   0.984620E+01   0.956168E-06   0.614564E-04   0.956168E-06   0.355809E-07
   305   0.390999E+04   0.120853E+03   0.609024E-04   0.120853E+03   0.100294E+02   0.966122E-06   0.609024E-04   0.966122E-06   0.354402E-07
   306   0.387578E+04   0.121004E+03   0.603522E-04   0.121004E+03   0.102133E+02   0.976009E-06   0.603522E-04   0.976009E-06   0.353003E-07
   307   0.384157E+04   0.121110E+03   0.598056E-04   0.121110E+03   0.103980E+02   0.985825E-06   0.598056E-04   0.985825E-06   0.351612E-07
   308   0.380737E+04   0.121193E+03   0.592627E-04   0.121193E+03   0.105850E+02   0.995564E-06   0.592627E-04   0.995564E-06   0.350229E-07
   309   0.377323E+04   0.121224E+03   0.587236E-04   0.121224E+03   0.107712E+02   0.100522E-05   0.587236E-04   0.100522E-05   0.348854E-07
   310   0.373903E+04   0.121224E+03   0.581881E-04   0.121224E+03   0.109575E+02   0.101479E-05   0.581881E-04   0.101479E-05   0.347487E-07
   311   0.370490E+04   0.121178E+03   0.576564E-04   0.121178E+03   0.111460E+02   0.102427E-05   0.576564E-04   0.102427E-05   0.346128E-07
   312   0.367084E+04   0.121102E+03   0.571284E-04   0.121102E+03   0.113338E+02   0.103365E-05   0.571284E-04   0.103365E-05   0.344776E-07
   313   0.363678E+04   0.120981E+03   0.566041E-04   0.120981E+03   0.115223E+02   0.104293E-05   0.566041E-04   0.104293E-05   0.343433E-07
   314   0.360280E+04   0.120829E+03   0.560836E-04   0.120829E+03   0.117116E+02   0.105210E-05   0.560836E-04   0.105210E-05   0.342097E-07
   315   0.356890E+04   0.120632E+03   0.555668E-04   0.120632E+03   0.119002E+02   0.106117E-05   0.555668E-04   0.106117E-05   0.340768E-07
   316   0.353507E+04   0.120397E+03   0.550537E-04   0.120397E+03   0.120895E+02   0.107011E-05   0.550537E-04   0.107011E-05   0.339448E-07
   317   0.350132E+04   0.120124E+03   0.545445E-04   0.120124E+03   0.122781E+02   0.107893E-05   0.545445E-04   0.107893E-05   0.338135E-07
   318   0.346764E+04   0.119813E+03   0.540389E-04   0.119813E+03   0.124682E+02   0.108763E-05   0.540389E-04   0.108763E-05   0.336829E-07
