#    L    TT             EE             BB             TE          
   368   0.210001E+04   0.204587E+02   0.650619E-02   0.612020E+02
   369   0.208183E+04   0.205588E+02   0.650495E-02   0.593670E+02
   370   0.206403E+04   0.206551E+02   0.650495E-02   0.575196E+02
   371   0.204660E+04   0.207477E+02   0.650610E-02   0.556562E+02
   372   0.202964E+04   0.208372E+02   0.650833E-02   0.537811E+02
   373   0.201312E+04   0.209230E+02   0.651157E-02   0.518915E+02
   374   0.199706E+04   0.210057E+02   0.651574E-02   0.499911E+02
   375   0.198138E+04   0.210847E+02   0.652077E-02   0.480799E+02
   376   0.196623E+04   0.211607E+02   0.652658E-02   0.461579E+02
   377   0.195153E+04   0.212321E+02   0.653311E-02   0.442281E+02
   378   0.193721E+04   0.212998E+02   0.654027E-02   0.422876E+02
   379   0.192335E+04   0.213644E+02   0.654800E-02   0.403409E+02
   380   0.191001E+04   0.214261E+02   0.655622E-02   0.383857E+02
   381   0.189706E+04   0.214809E+02   0.656486E-02   0.364250E+02
   382   0.188449E+04   0.215342E+02   0.657385E-02   0.344597E+02
   383   0.187244E+04   0.215831E+02   0.658310E-02   0.324882E+02
   384   0.186093E+04   0.216273E+02   0.659255E-02   0.305142E+02
   385   0.184972E+04   0.216693E+02   0.660213E-02   0.285364E+02
   386   0.183904E+04   0.217068E+02   0.661175E-02   0.265570E+02
   387   0.182875E+04   0.217398E+02   0.662135E-02   0.245760E+02
   388   0.181891E+04   0.217690E+02   0.663086E-02   0.225949E+02
   389   0.180952E+04   0.217921E+02   0.664019E-02   0.206137E+02
   390   0.180060E+04   0.218145E+02   0.664928E-02   0.186346E+02
   391   0.179213E+04   0.218316E+02   0.665805E-02   0.166563E+02
   392   0.178404E+04   0.218464E+02   0.666643E-02   0.146818E+02
   393   0.177648E+04   0.218559E+02   0.667434E-02   0.127102E+02
